<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_480_atp8	0.001	No mitochondrial presequence	7(MPP), 8(Icp55)	-0.286	28-32,45-49	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_481_atp8	0.017	No mitochondrial presequence	42(MPP)	0.071	57-61	1-10-high	-	-	-	-	-	-	-	-	-	-	24-29	-	-	-	
synMTS_1_482_atp8	0.002	No mitochondrial presequence	12(MPP)	-0.083	77-81	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_483_atp8	0.001	No mitochondrial presequence	29(MPP)	-0.138	68-72	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_484_atp8	0.008	No mitochondrial presequence	6(MPP)	0.000	22-26,40-44,74-78	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_485_atp8	0.044	No mitochondrial presequence	92(MPP)	0.033	31-35,89-93,94-98	21-30-low	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	-	
synMTS_1_486_atp8	0.024	No mitochondrial presequence	8(MPP)	0.000	47-51,57-61,61-65	8-17-high	-	-	-	-	-	-	-	-	-	1-6	-	-	-	-	
synMTS_1_487_atp8	0.031	No mitochondrial presequence	21(MPP)	0.095		18-30-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
synMTS_1_488_atp8	0.004	No mitochondrial presequence	78(MPP)	0.064	75-79,80-84	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_489_atp8	0.015	No mitochondrial presequence	87(MPP)	0.011	84-88,89-93	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_490_atp8	0.015	No mitochondrial presequence	6(MPP)	0.000	48-52,52-56,83-87	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_491_atp8	0.002	No mitochondrial presequence	6(MPP)	0.000	14-18	21-30-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-	
synMTS_1_492_atp8	0.005	No mitochondrial presequence	22(MPP)	-0.136	41-45,94-98	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_493_atp8	0.020	No mitochondrial presequence	33(MPP)	0.000	13-17,23-27,67-71	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_494_atp8	0.064	No mitochondrial presequence	7(MPP)	0.429	15-19,20-24,33-37	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_495_atp8	0.017	No mitochondrial presequence	85(MPP)	0.047	8-12,82-86,87-91	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_496_atp8	0.020	No mitochondrial presequence	82(MPP)	-0.049	2-6,79-83,84-88	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_497_atp8	0.060	No mitochondrial presequence	95(MPP)	0.021	5-9,92-96	5-16-high	-	-	-	-	-	-	-	-	11-16	-	-	-	5-10	-	
synMTS_1_498_atp8	0.012	No mitochondrial presequence	26(MPP)	-0.077	80-84	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_499_atp8	0.012	No mitochondrial presequence	17(MPP)	0.000		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_500_atp8	0.018	No mitochondrial presequence	59(MPP)	0.051	87-91	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_501_atp8	0.011	No mitochondrial presequence	52(MPP), 53(Icp55)	0.000	48-52,76-80	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_502_atp8	0.198	No mitochondrial presequence	92(MPP)	0.120	1-5,13-17,26-30,89-93,94-98	19-30-high	-	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	
synMTS_1_503_atp8	0.002	No mitochondrial presequence	6(MPP)	-0.333	51-55	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_504_atp8	0.014	No mitochondrial presequence	6(MPP)	0.000	35-39,40-44	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_505_atp8	0.007	No mitochondrial presequence	32(MPP)	0.031	28-32,66-70,82-86	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_506_atp8	0.097	No mitochondrial presequence	91(MPP)	0.055	88-92,93-97	19-28-high	6-11	3-8	-	-	-	1-6	-	-	-	-	-	-	-	-	
synMTS_1_507_atp8	0.001	No mitochondrial presequence	5(MPP)	-0.200		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_508_atp8	0.022	No mitochondrial presequence	47(MPP)	0.149	47-51,54-58,74-78,77-81,81-85	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_509_atp8	0.017	No mitochondrial presequence	89(MPP)	-0.011	86-90,91-95	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_510_atp8	0.002	No mitochondrial presequence	6(MPP), 7(Icp55)	-0.167	21-25,93-97	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_511_atp8	0.008	No mitochondrial presequence	12(MPP)	0.000	17-21	18-27-high	-	-	-	-	-	-	-	-	15-20	-	-	-	-	-	
synMTS_1_512_atp8	0.017	No mitochondrial presequence	14(MPP)	0.071	36-40,40-44,94-98	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_513_atp8	0.003	No mitochondrial presequence	9(MPP)	-0.333	51-55	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_514_atp8	0.040	No mitochondrial presequence	86(MPP)	0.093	24-28,27-31,30-34,83-87,88-92	8-18-low	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
synMTS_1_515_atp8	0.036	No mitochondrial presequence	50(MPP)	0.160	77-81	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_516_atp8	0.051	No mitochondrial presequence	16(MPP), 17(Icp55)	0.000		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_517_atp8	0.002	No mitochondrial presequence	33(MPP)	-0.121		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_518_atp8	0.014	No mitochondrial presequence	80(MPP)	0.138	77-81,82-86	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_519_atp8	0.004	No mitochondrial presequence	82(MPP)	-0.024	79-83,84-88	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_520_atp8	0.018	No mitochondrial presequence	6(MPP)	-0.333		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_521_atp8	0.009	No mitochondrial presequence	30(MPP)	0.000	93-97	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_522_atp8	0.029	No mitochondrial presequence	12(MPP), 20(Oct1)	0.083		17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_523_atp8	0.046	No mitochondrial presequence	15(MPP), 16(Icp55)	0.133	51-55	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_524_atp8	0.007	No mitochondrial presequence	93(MPP)	-0.011	90-94,95-99	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_525_atp8	0.001	No mitochondrial presequence	30(MPP)	0.100		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_526_atp8	0.016	No mitochondrial presequence	83(MPP)	0.036	21-25,80-84,85-89	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_527_atp8	0.004	No mitochondrial presequence	9(MPP)	-0.333		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_528_atp8	0.019	No mitochondrial presequence	35(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_529_atp8	0.010	No mitochondrial presequence	6(MPP)	0.000		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_530_atp8	0.030	No mitochondrial presequence	37(MPP)	0.081	41-45,68-72	19-28-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	-	
synMTS_1_531_atp8	0.018	No mitochondrial presequence	36(MPP), 37(Icp55)	-0.056	67-71,85-89	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_532_atp8	0.014	No mitochondrial presequence	27(MPP), 35(Oct1)	0.000	7-11	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_533_atp8	0.006	No mitochondrial presequence	14(MPP), 15(Icp55)	-0.214		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_534_atp8	0.030	No mitochondrial presequence	11(MPP)	-0.091	26-30	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_535_atp8	0.000	No mitochondrial presequence	15(MPP)	-0.133		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_536_atp8	0.002	No mitochondrial presequence	95(MPP)	0.074	92-96	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_537_atp8	0.020	No mitochondrial presequence	27(MPP)	-0.074		9-21-high	-	-	-	-	-	-	-	-	8-13	-	7-12	-	-	-	
synMTS_1_538_atp8	0.030	No mitochondrial presequence	20(MPP)	0.150	13-17	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_539_atp8	0.040	No mitochondrial presequence	93(MPP)	0.065	50-54,90-94,95-99	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_540_atp8	0.009	No mitochondrial presequence	19(MPP)	0.053	91-95	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_541_atp8	0.014	No mitochondrial presequence	89(MPP)	0.011	86-90,91-95	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_542_atp8	0.031	No mitochondrial presequence	23(MPP)	0.000	16-20,47-51,63-67	16-25-high	-	-	-	-	-	-	-	-	14-19	-	-	-	-	-	
synMTS_1_543_atp8	0.003	No mitochondrial presequence	7(MPP)	0.143	69-73	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_544_atp8	0.012	No mitochondrial presequence	12(MPP)	0.333		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_545_atp8	0.007	No mitochondrial presequence	84(MPP)	0.024	81-85,86-90	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_546_atp8	0.015	No mitochondrial presequence	49(MPP), 50(Icp55)	0.184	30-34	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_547_atp8	0.021	No mitochondrial presequence	89(MPP)	-0.011	35-39,86-90,91-95	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_548_atp8	0.009	No mitochondrial presequence	29(MPP)	-0.034		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_549_atp8	0.005	No mitochondrial presequence	7(MPP)	0.143	58-62	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_550_atp8	0.011	No mitochondrial presequence	30(MPP)	0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_551_atp8	0.115	No mitochondrial presequence	67(MPP)	0.164	23-27,56-60	21-30-high	-	6-11	-	-	23-28	-	-	-	-	-	-	-	-	-	
synMTS_1_552_atp8	0.001	No mitochondrial presequence	30(MPP)	0.067		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_553_atp8	0.037	No mitochondrial presequence	39(MPP)	-0.026	14-18	10-21-high	-	-	-	-	-	-	-	-	-	-	-	13-18	14-19	-	
synMTS_1_554_atp8	0.004	No mitochondrial presequence	39(MPP), 40(Icp55)	0.051	96-100	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_555_atp8	0.008	No mitochondrial presequence	31(MPP)	-0.032	89-93	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_556_atp8	0.057	No mitochondrial presequence	18(MPP)	0.222	93-97	7-16-high	-	-	-	-	-	-	-	-	10-15	-	9-14	-	-	-	
synMTS_1_557_atp8	0.004	No mitochondrial presequence	30(MPP), 31(Icp55)	0.000	12-16	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_558_atp8	0.014	No mitochondrial presequence	24(MPP)	-0.042	68-72	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_559_atp8	0.022	No mitochondrial presequence	81(MPP)	-0.012	26-30,78-82,83-87	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_560_atp8	0.010	No mitochondrial presequence	4(MPP)	0.000	32-36	7-16-high	-	-	-	-	-	-	-	-	-	23-28	-	-	-	-	
synMTS_1_561_atp8	0.007	No mitochondrial presequence	53(MPP)	0.019	95-99	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_562_atp8	0.007	No mitochondrial presequence	37(MPP)	0.081	13-17,43-47,50-54	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_563_atp8	0.058	No mitochondrial presequence	80(MPP)	0.000	8-12,77-81,82-86	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_564_atp8	0.002	No mitochondrial presequence	7(MPP)	-0.143		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_565_atp8	0.003	No mitochondrial presequence	34(MPP)	0.029		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_566_atp8	0.015	No mitochondrial presequence	20(MPP)	0.000	18-22,64-68	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
