<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_237_cox2	0.073	No mitochondrial presequence	22(MPP)	0.136	7-11,12-16,16-20,19-23,44-48,78-82,83-87	5-14-low	-	-	-	-	19-24	-	-	-	-	-	-	15-20	-	-	
synMTS_1_238_cox2	0.003	No mitochondrial presequence	57(MPP)	-0.018	37-41,41-45	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_239_cox2	0.021	No mitochondrial presequence	58(MPP)	-0.103	44-48	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_240_cox2	0.040	No mitochondrial presequence	82(MPP)	0.024	16-20	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_241_cox2	0.059	No mitochondrial presequence	91(MPP)	0.088	64-68	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_242_cox2	0.016	No mitochondrial presequence	86(MPP)	0.023	43-47,64-68	16-25-low	-	-	-	5-10	-	-	-	-	-	-	-	-	-	-	
synMTS_1_243_cox2	0.004	No mitochondrial presequence	19(MPP)	-0.053	21-25	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_244_cox2	0.004	No mitochondrial presequence	17(MPP)	-0.059		18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_245_cox2	0.003	No mitochondrial presequence	72(MPP)	0.000		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_246_cox2	0.002	No mitochondrial presequence	11(MPP)	0.000	48-52	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_247_cox2	0.000	No mitochondrial presequence	80(MPP)	0.075		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_248_cox2	0.047	No mitochondrial presequence	29(MPP)	0.069	15-19,45-49	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_249_cox2	0.003	No mitochondrial presequence	90(MPP)	-0.022		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_250_cox2	0.004	No mitochondrial presequence	63(MPP)	-0.143		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_251_cox2	0.027	No mitochondrial presequence	92(MPP)	-0.011		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_252_cox2	0.000	No mitochondrial presequence	15(MPP)	0.000	54-58	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_253_cox2	0.002	No mitochondrial presequence	49(MPP)	-0.061		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_254_cox2	0.038	No mitochondrial presequence	82(MPP)	-0.049		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_255_cox2	0.065	No mitochondrial presequence	69(MPP)	0.145	55-59,60-64	1-12-high	-	13-18	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_256_cox2	0.000	No mitochondrial presequence	73(MPP)	-0.110		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_257_cox2	0.007	No mitochondrial presequence	67(MPP)	-0.045	41-45	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_258_cox2	0.028	No mitochondrial presequence	87(MPP)	0.034	53-57,75-79	5-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_259_cox2	0.016	No mitochondrial presequence	30(MPP), 31(Icp55)	0.100	10-14,26-30,31-35,49-53,56-60	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_260_cox2	0.008	No mitochondrial presequence	39(MPP)	-0.051	51-55	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_261_cox2	0.000	No mitochondrial presequence	57(MPP)	-0.088		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_262_cox2	0.009	No mitochondrial presequence	61(MPP)	0.016	24-28	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_263_cox2	0.017	No mitochondrial presequence	68(MPP)	-0.088	44-48	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_264_cox2	0.008	No mitochondrial presequence	60(MPP)	-0.017		13-22-high	-	11-16	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_265_cox2	0.024	No mitochondrial presequence	53(MPP)	0.000	2-6,6-10,13-17	2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_266_cox2	0.012	No mitochondrial presequence	31(MPP)	0.000	4-8	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	14-19	
synMTS_1_267_cox2	0.030	No mitochondrial presequence	62(MPP)	0.048	10-14,65-69	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_268_cox2	0.003	No mitochondrial presequence	11(MPP)	0.000		19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_269_cox2	0.031	No mitochondrial presequence	57(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	3-8	-	2-7	-	-	-	-	
synMTS_1_270_cox2	0.008	No mitochondrial presequence	51(MPP), 52(Icp55)	0.098		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_271_cox2	0.008	No mitochondrial presequence	73(MPP)	0.082	18-22	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_272_cox2	0.047	No mitochondrial presequence	88(MPP)	-0.091	4-8,61-65	1-10-high	-	-	-	-	4-9	-	-	-	12-17	-	-	-	-	-	
synMTS_1_273_cox2	0.014	No mitochondrial presequence	48(MPP)	0.021	38-42	11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_274_cox2	0.039	No mitochondrial presequence	79(MPP)	-0.013	17-21,36-40	17-28-high	-	-	-	-	17-22	-	10-15	-	-	-	-	-	-	9-14	
synMTS_1_275_cox2	0.040	No mitochondrial presequence	84(MPP)	0.048		21-30-low	-	25-30	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_276_cox2	0.006	No mitochondrial presequence	15(MPP)	0.000	11-15,22-26	21-30-high	-	-	-	-	-	-	-	-	25-30	-	-	-	-	-	
synMTS_1_277_cox2	0.002	No mitochondrial presequence	73(MPP)	-0.055	51-55	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_278_cox2	0.029	No mitochondrial presequence	54(MPP)	0.056		7-16-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
synMTS_1_279_cox2	0.020	No mitochondrial presequence	5(MPP)	-0.400	23-27	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_280_cox2	0.009	No mitochondrial presequence	25(MPP)	0.040	30-34,49-53	17-26-low	-	-	-	-	-	-	-	-	3-8	-	2-7	-	-	-	
synMTS_1_281_cox2	0.001	No mitochondrial presequence	70(MPP)	0.057	23-27	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_282_cox2	0.003	No mitochondrial presequence	69(MPP)	0.043	7-11	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_283_cox2	0.001	No mitochondrial presequence	77(MPP)	0.065	43-47,50-54,70-74	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_284_cox2	0.001	No mitochondrial presequence	85(MPP)	0.024		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_285_cox2	0.259	No mitochondrial presequence	32(MPP)	0.156	8-12,43-47,96-100	8-17-high	-	-	-	-	8-13	-	1-6	11-16	-	-	-	-	-	-	
synMTS_1_286_cox2	0.046	No mitochondrial presequence	36(MPP), 37(Icp55)	0.111	9-13,12-16	8-18-high	-	-	-	-	9-14	-	-	-	-	-	-	-	-	-	
synMTS_1_287_cox2	0.019	No mitochondrial presequence	6(MPP)	-0.167	17-21,20-24,27-31,78-82	1-10-low	-	-	-	21-26	-	-	-	-	-	-	-	-	-	-	
synMTS_1_288_cox2	0.034	No mitochondrial presequence	62(MPP)	0.048	2-6,19-23,23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_289_cox2	0.001	No mitochondrial presequence	45(MPP), 46(Icp55)	0.022		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_290_cox2	0.001	No mitochondrial presequence	64(MPP)	0.016	59-63	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_291_cox2	0.004	No mitochondrial presequence	59(MPP)	0.068		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_292_cox2	0.018	No mitochondrial presequence	6(MPP)	0.333	42-46	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_293_cox2	0.045	No mitochondrial presequence	57(MPP)	-0.035	38-42	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_294_cox2	0.042	No mitochondrial presequence	10(MPP)	0.100	35-39,63-67	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_295_cox2	0.004	No mitochondrial presequence	48(MPP)	-0.021		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_296_cox2	0.038	No mitochondrial presequence	86(MPP)	-0.012	6-10,58-62	2-11-high	-	-	-	-	-	25-30	-	-	-	-	-	-	-	24-29	
synMTS_1_297_cox2	0.014	No mitochondrial presequence	52(MPP)	0.038	32-36	18-29-low	-	-	-	-	-	-	3-8	-	-	2-7	-	-	-	-	
synMTS_1_298_cox2	0.042	No mitochondrial presequence	93(MPP)	-0.011		12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_299_cox2	0.014	No mitochondrial presequence	33(MPP)	-0.030	49-53,69-73,94-98	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_300_cox2	0.023	No mitochondrial presequence	28(MPP)	-0.071		16-25-low	-	-	-	-	-	-	-	-	-	-	23-28	-	-	-	
synMTS_1_301_cox2	0.010	No mitochondrial presequence	65(MPP)	0.000	1-5	5-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_302_cox2	0.059	No mitochondrial presequence	70(MPP)	0.071	21-25	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_303_cox2	0.009	No mitochondrial presequence	90(MPP)	0.044		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_304_cox2	0.005	No mitochondrial presequence	74(MPP)	-0.041	65-69	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_305_cox2	0.004	No mitochondrial presequence	93(MPP), 101(Oct1)	0.000	88-92	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_306_cox2	0.074	No mitochondrial presequence	30(MPP)	0.067	4-8,46-50	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_307_cox2	0.020	No mitochondrial presequence	29(MPP), 30(Icp55)	-0.034	22-26,26-30,48-52	1-10-low	-	-	-	-	-	-	-	-	20-25	-	-	-	-	-	
synMTS_1_308_cox2	0.009	No mitochondrial presequence	52(MPP)	0.038	17-21	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_309_cox2	0.013	No mitochondrial presequence	90(MPP)	0.000		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_310_cox2	0.019	No mitochondrial presequence	89(MPP)	-0.034	43-47	10-19-high	-	14-19	16-21	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_311_cox2	0.000	No mitochondrial presequence	67(MPP)	0.030	59-63	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_312_cox2	0.023	No mitochondrial presequence	61(MPP)	0.066	46-50	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_313_cox2	0.010	No mitochondrial presequence	94(MPP)	-0.043	3-7	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_314_cox2	0.001	No mitochondrial presequence	15(MPP), 16(Icp55)	0.067		16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_315_cox2	0.180	No mitochondrial presequence	76(MPP)	0.092	18-22	13-27-high	-	-	-	-	-	-	22-27	-	-	21-26	-	-	-	-	
synMTS_1_316_cox2	0.046	No mitochondrial presequence	66(MPP)	0.076	18-22	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_317_cox2	0.009	No mitochondrial presequence	50(MPP)	-0.080	73-77	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_318_cox2	0.006	No mitochondrial presequence	77(MPP)	-0.065	15-19	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_319_cox2	0.032	No mitochondrial presequence	32(MPP)	0.094	28-32	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_320_cox2	0.028	No mitochondrial presequence	81(MPP)	-0.012	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_321_cox2	0.011	No mitochondrial presequence	55(MPP)	0.000		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_322_cox2	0.002	No mitochondrial presequence	21(MPP)	0.143		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_323_cox2	0.013	No mitochondrial presequence	83(MPP)	-0.060		8-18-high	-	-	-	-	-	-	-	-	-	-	14-19	-	-	-	
synMTS_1_324_cox2	0.001	No mitochondrial presequence	94(MPP)	-0.074	10-14	4-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_325_cox2	0.040	No mitochondrial presequence	52(MPP)	0.115	11-15	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_326_cox2	0.033	No mitochondrial presequence	25(MPP)	0.080	11-15,33-37	10-19-low	-	-	-	-	-	-	-	-	-	-	-	10-15	11-16	-	
synMTS_1_327_cox2	0.013	No mitochondrial presequence	49(MPP)	0.000	8-12	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_328_cox2	0.014	No mitochondrial presequence	64(MPP)	0.031	15-19	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_329_cox2	0.000	No mitochondrial presequence	91(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_330_cox2	0.003	No mitochondrial presequence	13(MPP), 21(Oct1)	-0.077	53-57	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_331_cox2	0.000	No mitochondrial presequence	22(MPP)	-0.091	32-36,55-59	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_332_cox2	0.012	No mitochondrial presequence	84(MPP)	0.000	18-22,48-52	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	18-23	-	
synMTS_1_333_cox2	0.025	No mitochondrial presequence	32(MPP)	0.062	4-8,49-53	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_334_cox2	0.002	No mitochondrial presequence	40(MPP)	0.100	56-60,65-69,93-97	11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_335_cox2	0.006	No mitochondrial presequence	62(MPP)	-0.016		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_336_cox2	0.008	No mitochondrial presequence	47(MPP)	-0.043		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_337_cox2	0.008	No mitochondrial presequence	61(MPP)	0.049	11-15,14-18	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_338_cox2	0.002	No mitochondrial presequence	6(MPP)	-0.167	96-100	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_339_cox2	0.007	No mitochondrial presequence	77(MPP)	-0.013		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_340_cox2	0.004	No mitochondrial presequence	92(MPP)	-0.043		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_341_cox2	0.003	No mitochondrial presequence	65(MPP)	0.015	37-41	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_342_cox2	0.018	No mitochondrial presequence	6(MPP)	-0.333		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_343_cox2	0.005	No mitochondrial presequence	90(MPP)	0.033	27-31,32-36,59-63	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_344_cox2	0.003	No mitochondrial presequence	6(MPP)	-0.167	41-45,45-49,65-69,92-96	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_345_cox2	0.013	No mitochondrial presequence	24(MPP)	-0.042	10-14	8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_346_cox2	0.008	No mitochondrial presequence	71(MPP)	-0.014	41-45	21-30-low	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
synMTS_1_347_cox2	0.025	No mitochondrial presequence	20(MPP)	0.200		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_348_cox2	0.016	No mitochondrial presequence	40(MPP), 41(Icp55)	-0.100		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_349_cox2	0.010	No mitochondrial presequence	22(MPP), 23(Icp55)	-0.045	12-16,20-24,74-78	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_350_cox2	0.002	No mitochondrial presequence	69(MPP)	-0.130		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_351_cox2	0.092	No mitochondrial presequence	78(MPP)	0.038	5-9,9-13,15-19,18-22	14-23-high	-	-	-	-	-	-	-	-	-	-	-	8-13	5-10	-	
synMTS_1_352_cox2	0.043	No mitochondrial presequence	79(MPP)	-0.025	54-58	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_353_cox2	0.038	No mitochondrial presequence	76(MPP)	0.013		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_354_cox2	0.009	No mitochondrial presequence	10(MPP)	0.000	1-5,94-98	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
synMTS_1_355_cox2	0.001	No mitochondrial presequence	75(MPP)	0.027	28-32	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_356_cox2	0.005	No mitochondrial presequence	83(MPP)	-0.048		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_357_cox2	0.018	No mitochondrial presequence	48(MPP)	0.042		3-14-high	-	-	-	-	-	-	-	10-15	-	-	-	-	-	-	
synMTS_1_358_cox2	0.048	No mitochondrial presequence	84(MPP)	-0.024	11-15,14-18,46-50	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_359_cox2	0.000	No mitochondrial presequence	52(MPP)	-0.058		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_360_cox2	0.003	No mitochondrial presequence	91(MPP)	-0.033	51-55	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_361_cox2	0.011	No mitochondrial presequence	81(MPP)	0.049		20-30-high	-	15-20	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_362_cox2	0.012	No mitochondrial presequence	21(MPP)	0.048	70-74	1-10-low	-	6-11	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
synMTS_1_363_cox2	0.004	No mitochondrial presequence	50(MPP)	0.020	4-8	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_364_cox2	0.024	No mitochondrial presequence	56(MPP)	0.036	25-29	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_365_cox2	0.000	No mitochondrial presequence	86(MPP)	-0.081	28-32	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_366_cox2	0.091	No mitochondrial presequence	93(MPP)	0.043	62-66	7-16-high	-	-	-	-	-	-	-	12-17	-	-	-	-	-	11-16	
synMTS_1_367_cox2	0.000	No mitochondrial presequence	13(MPP)	0.077	66-70	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_368_cox2	0.005	No mitochondrial presequence	19(MPP)	-0.105		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_369_cox2	0.001	No mitochondrial presequence	50(MPP)	-0.100		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_370_cox2	0.001	No mitochondrial presequence	84(MPP)	-0.024	30-34,63-67,75-79	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
