<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_415_hac1	0.001	No mitochondrial presequence	90(MPP)	-0.056	88-92	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_416_hac1	0.026	No mitochondrial presequence	6(MPP)	0.000	19-23,37-41,80-84,84-88	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_417_hac1	0.014	No mitochondrial presequence	6(MPP), 7(Icp55)	0.000	9-13,86-90	9-18-high	-	-	-	-	-	-	-	-	12-17	-	-	-	-	-	
synMTS_1_418_hac1	0.004	No mitochondrial presequence	84(MPP)	-0.024	41-45,95-99	12-22-low	-	-	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
synMTS_1_419_hac1	0.000	No mitochondrial presequence	34(MPP)	-0.118	32-36	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_420_hac1	0.010	No mitochondrial presequence	21(MPP)	0.000	33-37,43-47,89-93	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_421_hac1	0.005	No mitochondrial presequence	32(MPP)	0.031		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_422_hac1	0.000	No mitochondrial presequence	39(MPP)	-0.051		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_423_hac1	0.040	No mitochondrial presequence	78(MPP)	0.038	89-93	17-26-low	-	-	-	-	-	-	-	-	-	-	5-10	-	-	-	
synMTS_1_424_hac1	0.006	No mitochondrial presequence	78(MPP), 79(Icp55)	0.038	76-80	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_425_hac1	0.013	No mitochondrial presequence	25(MPP)	-0.160		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_426_hac1	0.017	No mitochondrial presequence	5(MPP)	-0.400	24-28,54-58	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_427_hac1	0.000	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.250	24-28,34-38,46-50,50-54	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_428_hac1	0.000	No mitochondrial presequence	6(MPP)	-0.333	49-53	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_429_hac1	0.000	No mitochondrial presequence	12(MPP), 20(Oct1)	-0.167		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_430_hac1	0.000	No mitochondrial presequence	91(MPP)	0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_431_hac1	0.000	No mitochondrial presequence	78(MPP)	0.026	89-93	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_432_hac1	0.001	No mitochondrial presequence	17(MPP)	-0.059		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_433_hac1	0.037	No mitochondrial presequence	6(MPP)	0.000	25-29	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_434_hac1	0.005	No mitochondrial presequence	91(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_435_hac1	0.001	No mitochondrial presequence	18(MPP), 19(Icp55)	0.278	31-35,52-56	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_436_hac1	0.000	No mitochondrial presequence	63(MPP)	0.079		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_437_hac1	0.002	No mitochondrial presequence	87(MPP)	-0.046		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_438_hac1	0.007	No mitochondrial presequence	43(MPP)	0.116	54-58	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_439_hac1	0.000	No mitochondrial presequence	19(MPP)	-0.211		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_440_hac1	0.032	No mitochondrial presequence	93(MPP)	0.086	84-88	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_441_hac1	0.009	No mitochondrial presequence	33(MPP)	-0.121		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_442_hac1	0.001	No mitochondrial presequence	94(MPP)	-0.043		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_443_hac1	0.006	No mitochondrial presequence	21(MPP)	0.095	14-18	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_444_hac1	0.005	No mitochondrial presequence	33(MPP)	0.061	7-11,94-98	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_445_hac1	0.000	No mitochondrial presequence	90(MPP)	-0.011		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_446_hac1	0.003	No mitochondrial presequence	7(MPP), 8(Icp55)	0.000	74-78	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_447_hac1	0.001	No mitochondrial presequence	9(MPP)	-0.222	63-67	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_448_hac1	0.030	No mitochondrial presequence	28(MPP), 29(Icp55)	-0.036	26-30	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_449_hac1	0.005	No mitochondrial presequence	17(MPP)	0.000	63-67	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_450_hac1	0.006	No mitochondrial presequence	15(MPP)	0.000	47-51,56-60	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_451_hac1	0.007	No mitochondrial presequence	71(MPP), 72(Icp55)	-0.014	59-63	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_452_hac1	0.007	No mitochondrial presequence	83(MPP)	0.012	94-98	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_453_hac1	0.018	No mitochondrial presequence	10(MPP)	0.000	48-52,76-80	14-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_454_hac1	0.013	No mitochondrial presequence	13(MPP)	0.000	76-80	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_455_hac1	0.007	No mitochondrial presequence	85(MPP)	0.024	20-24,41-45,44-48,96-100	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_456_hac1	0.017	No mitochondrial presequence	85(MPP)	-0.012	10-14,96-100	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_457_hac1	0.012	No mitochondrial presequence	66(MPP)	0.091		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_458_hac1	0.002	No mitochondrial presequence	13(MPP)	0.000	41-45	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_459_hac1	0.000	No mitochondrial presequence	14(MPP), 15(Icp55)	0.000	28-32,47-51,52-56	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_460_hac1	0.016	No mitochondrial presequence	18(MPP)	0.000	13-17	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_461_hac1	0.002	No mitochondrial presequence	59(MPP), 60(Icp55)	-0.017	12-16	12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_462_hac1	0.003	No mitochondrial presequence	77(MPP)	0.039	40-44,88-92	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_463_hac1	0.021	No mitochondrial presequence	15(MPP)	-0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_464_hac1	0.000	No mitochondrial presequence	20(MPP)	-0.150		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_465_hac1	0.014	No mitochondrial presequence	23(MPP)	-0.043	32-36,35-39	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_466_hac1	0.030	No mitochondrial presequence	80(MPP)	-0.025	91-95	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_467_hac1	0.003	No mitochondrial presequence	88(MPP)	-0.034		2-11-low	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
synMTS_1_468_hac1	0.004	No mitochondrial presequence	22(MPP), 23(Icp55)	-0.045		17-26-low	-	-	-	-	-	-	-	19-24	-	-	-	-	-	-	
synMTS_1_469_hac1	0.022	No mitochondrial presequence	94(MPP)	0.085	22-26,85-89	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_470_hac1	0.019	No mitochondrial presequence	18(MPP)	0.167	25-29	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_471_hac1	0.006	No mitochondrial presequence	14(MPP), 15(Icp55)	-0.071	40-44	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_472_hac1	0.000	No mitochondrial presequence	22(MPP)	-0.227		10-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_473_hac1	0.013	No mitochondrial presequence	18(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_474_hac1	0.003	No mitochondrial presequence	41(MPP)	0.000	1-5,35-39	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_475_hac1	0.027	No mitochondrial presequence	25(MPP)	0.040		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_476_hac1	0.007	No mitochondrial presequence	18(MPP)	0.056	33-37	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_477_hac1	0.009	No mitochondrial presequence	56(MPP)	0.018	41-45,60-64	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_478_hac1	0.007	No mitochondrial presequence	13(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_479_hac1	0.001	No mitochondrial presequence	6(MPP)	-0.167	31-35,37-41	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_480_hac1	0.001	No mitochondrial presequence	7(MPP), 8(Icp55)	-0.286	28-32,45-49	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_481_hac1	0.010	No mitochondrial presequence	42(MPP)	0.071	57-61	1-10-high	-	-	-	-	-	-	-	-	-	-	24-29	-	-	-	
synMTS_1_482_hac1	0.001	No mitochondrial presequence	12(MPP)	-0.083	77-81	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_483_hac1	0.000	No mitochondrial presequence	29(MPP)	-0.138	68-72	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_484_hac1	0.006	No mitochondrial presequence	6(MPP)	0.000	22-26,40-44,74-78	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_485_hac1	0.018	No mitochondrial presequence	86(MPP)	0.035	31-35	21-30-low	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	-	
synMTS_1_486_hac1	0.016	No mitochondrial presequence	8(MPP)	0.000	47-51,57-61,61-65	8-17-high	-	-	-	-	-	-	-	-	-	1-6	-	-	-	-	
synMTS_1_487_hac1	0.014	No mitochondrial presequence	94(MPP)	0.032		18-30-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
synMTS_1_488_hac1	0.003	No mitochondrial presequence	92(MPP)	0.109	83-87	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_489_hac1	0.003	No mitochondrial presequence	81(MPP)	0.012	92-96	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_490_hac1	0.010	No mitochondrial presequence	6(MPP)	0.000	48-52,52-56,83-87	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_491_hac1	0.001	No mitochondrial presequence	6(MPP)	0.000	14-18	21-30-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-	
synMTS_1_492_hac1	0.003	No mitochondrial presequence	91(MPP)	-0.033	41-45	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_493_hac1	0.009	No mitochondrial presequence	33(MPP)	0.000	13-17,23-27,67-71	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_494_hac1	0.038	No mitochondrial presequence	7(MPP)	0.429	15-19,20-24,33-37	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_495_hac1	0.005	No mitochondrial presequence	79(MPP)	0.051	8-12,90-94	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_496_hac1	0.008	No mitochondrial presequence	95(MPP)	0.011	2-6,87-91	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_497_hac1	0.039	No mitochondrial presequence	89(MPP)	0.022	5-9	5-16-high	-	-	-	-	-	-	-	-	11-16	-	-	-	5-10	-	
synMTS_1_498_hac1	0.009	No mitochondrial presequence	26(MPP)	-0.077	80-84	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_499_hac1	0.006	No mitochondrial presequence	17(MPP)	0.000		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_500_hac1	0.013	No mitochondrial presequence	59(MPP)	0.051	87-91	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_501_hac1	0.008	No mitochondrial presequence	52(MPP), 53(Icp55)	0.000	48-52,76-80	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_502_hac1	0.097	No mitochondrial presequence	54(MPP)	0.185	1-5,13-17,26-30	19-30-high	-	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	
synMTS_1_503_hac1	0.001	No mitochondrial presequence	6(MPP)	-0.333	51-55	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_504_hac1	0.008	No mitochondrial presequence	6(MPP)	0.000	35-39,40-44	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_505_hac1	0.004	No mitochondrial presequence	32(MPP)	0.031	28-32,66-70,82-86	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_506_hac1	0.077	No mitochondrial presequence	85(MPP)	0.059	96-100	19-28-high	6-11	3-8	-	-	-	1-6	-	-	-	-	-	-	-	-	
synMTS_1_507_hac1	0.000	No mitochondrial presequence	5(MPP)	-0.200		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_508_hac1	0.014	No mitochondrial presequence	47(MPP)	0.149	47-51,54-58,74-78,77-81,81-85	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_509_hac1	0.003	No mitochondrial presequence	83(MPP)	-0.012	94-98	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_510_hac1	0.001	No mitochondrial presequence	90(MPP)	0.000	21-25	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_511_hac1	0.005	No mitochondrial presequence	12(MPP)	0.000	17-21	18-27-high	-	-	-	-	-	-	-	-	15-20	-	-	-	-	-	
synMTS_1_512_hac1	0.007	No mitochondrial presequence	91(MPP)	0.044	36-40,40-44	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_513_hac1	0.002	No mitochondrial presequence	9(MPP)	-0.333	51-55	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_514_hac1	0.021	No mitochondrial presequence	80(MPP)	0.100	24-28,27-31,30-34,91-95	8-18-low	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
synMTS_1_515_hac1	0.020	No mitochondrial presequence	50(MPP)	0.160	77-81	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_516_hac1	0.031	No mitochondrial presequence	16(MPP), 17(Icp55)	0.000		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_517_hac1	0.002	No mitochondrial presequence	33(MPP)	-0.121		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_518_hac1	0.012	No mitochondrial presequence	94(MPP)	0.170	85-89	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_519_hac1	0.001	No mitochondrial presequence	95(MPP)	0.032	87-91	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_520_hac1	0.014	No mitochondrial presequence	94(MPP)	-0.043		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_521_hac1	0.005	No mitochondrial presequence	90(MPP)	-0.044		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_522_hac1	0.019	No mitochondrial presequence	12(MPP), 20(Oct1)	0.083		17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_523_hac1	0.034	No mitochondrial presequence	15(MPP), 16(Icp55)	0.133	51-55	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_524_hac1	0.002	No mitochondrial presequence	87(MPP)	-0.011		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_525_hac1	0.001	No mitochondrial presequence	30(MPP)	0.100		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_526_hac1	0.008	No mitochondrial presequence	77(MPP)	0.039	21-25,88-92	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_527_hac1	0.002	No mitochondrial presequence	9(MPP)	-0.333		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_528_hac1	0.016	No mitochondrial presequence	35(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_529_hac1	0.005	No mitochondrial presequence	95(MPP)	0.063		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_530_hac1	0.020	No mitochondrial presequence	37(MPP)	0.081	41-45,68-72	19-28-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	-	
synMTS_1_531_hac1	0.013	No mitochondrial presequence	36(MPP), 37(Icp55)	-0.056	67-71,85-89	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_532_hac1	0.010	No mitochondrial presequence	27(MPP), 35(Oct1)	0.000	7-11	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_533_hac1	0.004	No mitochondrial presequence	14(MPP), 15(Icp55)	-0.214		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_534_hac1	0.018	No mitochondrial presequence	11(MPP)	-0.091	26-30	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_535_hac1	0.000	No mitochondrial presequence	95(MPP)	0.011		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_536_hac1	0.000	No mitochondrial presequence	89(MPP)	0.079		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_537_hac1	0.015	No mitochondrial presequence	27(MPP)	-0.074		9-21-high	-	-	-	-	-	-	-	-	8-13	-	7-12	-	-	-	
synMTS_1_538_hac1	0.020	No mitochondrial presequence	95(MPP)	0.063	13-17	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_539_hac1	0.010	No mitochondrial presequence	87(MPP)	0.069	50-54	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_540_hac1	0.006	No mitochondrial presequence	19(MPP)	0.053	91-95	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_541_hac1	0.004	No mitochondrial presequence	83(MPP)	0.012	94-98	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_542_hac1	0.027	No mitochondrial presequence	23(MPP)	0.000	16-20,47-51,63-67	16-25-high	-	-	-	-	-	-	-	-	14-19	-	-	-	-	-	
synMTS_1_543_hac1	0.003	No mitochondrial presequence	7(MPP)	0.143	69-73	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_544_hac1	0.005	No mitochondrial presequence	94(MPP)	0.074		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_545_hac1	0.004	No mitochondrial presequence	78(MPP)	0.026	89-93	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_546_hac1	0.010	No mitochondrial presequence	49(MPP), 50(Icp55)	0.184	30-34	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_547_hac1	0.008	No mitochondrial presequence	83(MPP)	-0.012	35-39,94-98	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_548_hac1	0.006	No mitochondrial presequence	29(MPP)	-0.034		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_549_hac1	0.002	No mitochondrial presequence	7(MPP)	0.143	58-62	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_550_hac1	0.009	No mitochondrial presequence	30(MPP)	0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_551_hac1	0.069	No mitochondrial presequence	67(MPP)	0.164	23-27,56-60	21-30-high	-	6-11	-	-	23-28	-	-	-	-	-	-	-	-	-	
synMTS_1_552_hac1	0.001	No mitochondrial presequence	30(MPP)	0.067		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_553_hac1	0.031	No mitochondrial presequence	39(MPP)	-0.026	14-18	10-21-high	-	-	-	-	-	-	-	-	-	-	-	13-18	14-19	-	
synMTS_1_554_hac1	0.002	No mitochondrial presequence	93(MPP)	0.000		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_555_hac1	0.007	No mitochondrial presequence	31(MPP)	-0.032	89-93	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_556_hac1	0.044	No mitochondrial presequence	90(MPP)	0.067		7-16-high	-	-	-	-	-	-	-	-	10-15	-	9-14	-	-	-	
synMTS_1_557_hac1	0.003	No mitochondrial presequence	30(MPP), 31(Icp55)	0.000	12-16	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_558_hac1	0.009	No mitochondrial presequence	24(MPP)	-0.042	68-72	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_559_hac1	0.019	No mitochondrial presequence	95(MPP)	0.042	26-30,86-90	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_560_hac1	0.007	No mitochondrial presequence	4(MPP)	0.000	32-36	7-16-high	-	-	-	-	-	-	-	-	-	23-28	-	-	-	-	
synMTS_1_561_hac1	0.004	No mitochondrial presequence	92(MPP)	0.011		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_562_hac1	0.004	No mitochondrial presequence	37(MPP)	0.081	13-17,43-47,50-54	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_563_hac1	0.042	No mitochondrial presequence	94(MPP)	0.053	8-12,85-89	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_564_hac1	0.001	No mitochondrial presequence	7(MPP)	-0.143		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_565_hac1	0.002	No mitochondrial presequence	34(MPP)	0.029		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_566_hac1	0.011	No mitochondrial presequence	20(MPP)	0.000	18-22,64-68	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_567_hac1	0.002	No mitochondrial presequence	34(MPP)	-0.029	47-51	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_568_hac1	0.024	No mitochondrial presequence	93(MPP)	0.118	2-6,84-88	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_569_hac1	0.016	No mitochondrial presequence	85(MPP)	-0.012	96-100	20-30-low	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-	
